,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('BHR', 6)",,,,,,,,,0.7744905,,9.7,1.1333,,,,0.8485,,2.315084,1.1619,1.6312044,0.268773,0.7594605,2.0511621,3.3570097,,,
"('BHR', 7)",,,,,,,,,0.8007705,,9.4,1.1333,,,,0.8485,,2.315084,1.1619,1.6865544,0.277893,0.7852305,2.1207621,3.4709197,,,
"('BHR', 8)",0.0803986,0.0092412,0.1524801,0.0046206,,,0.2208651,,0.4676055,,9.3,1.1333,0.228258,0.228258,0.0970328,0.8485,0.0147859,2.315084,1.1619,1.2678948,0.7688692,0.7540832,1.626454,3.3194448,,,
"('BHR', 9)",0.0808812,0.0086658,0.1954629,0.0048144,,,0.2204976,,0.5584655,,9.3,0.8979,0.2282006,0.2282006,0.0962872,0.8485,0.0144431,2.315084,1.0098,1.4520104,0.779926,0.6094977,1.5203743,3.6309888,,,
"('BHR', 10)",0.0434945,0.0098851,0.3687148,0.0820465,,,0.1176329,,0.7146939,,9.1,0.7914,0.2065989,0.1225754,0.1878172,0.8485,0.0652418,2.315084,1.0599,1.2247659,0.6642798,0.9914771,1.5153883,3.5734694,,,
"('BHR', 11)",0.0439345,0.0099851,0.3724448,0.0828765,,,0.1188229,,0.7219239,,9.0,0.7914,0.2086889,0.1238154,0.1897172,0.8485,0.0659018,2.315084,1.0599,1.2371559,0.6709998,1.0015071,1.5307183,3.6096194,,,
"('BHR', 12)",0.1479422,0.033106,0.355889,0.0920759,,,0.0631082,,0.7935083,,8.9,0.7876,0.1251819,0.0806958,0.1748408,0.8485,0.1324238,2.12839,0.9899,1.2445769,0.4210663,1.3945882,1.4049338,3.883742,,,
"('BHR', 13)",0.1621865,0.0362935,0.4162408,0.1009412,,,0.0680503,,0.7678338,,8.05,0.7057,0.1202221,0.0816603,0.1905407,0.8485,0.2075533,2.12839,0.9257,1.3054308,0.4876935,1.744355,1.2611982,4.3915101,,,
"('BHR', 14)",0.1621865,0.0362935,0.4162408,0.1009412,,,0.0680503,,0.7678338,,8.05,0.7057,0.1202221,0.0816603,0.1905407,0.8485,0.2075533,2.12839,0.9257,1.3054308,0.4876935,1.744355,1.2611982,4.3915101,,,
"('BHR', 15)",0.17148,0.0383732,0.4364946,0.1067253,,,0.0719497,,0.8022387,,7.4,0.7029,0.1307085,0.0887379,0.201459,0.8485,0.2302389,2.12839,0.9286,1.3154796,0.5060459,1.8479071,1.377836,4.6647363,,,
"('BHR', 16)",0.2026582,0.044369,0.4424904,0.1055262,,,0.2362347,,0.7806538,,7.4,0.7029,0.1151195,0.074348,0.2710104,0.8485,0.2590188,2.12839,0.9286,1.1451988,0.4029181,2.0949343,1.2495258,4.5688034,,,
"('BHR', 17)",0.2054926,0.045665,0.4794827,0.108154,,,0.2403422,,0.8123566,,7.4,0.718,0.116566,0.0757078,0.2751918,0.8485,0.2631747,2.12839,0.888,0.9505534,0.4109852,2.4514904,1.0623125,4.5184334,,,
"('BHR', 18)",0.2054926,0.045665,0.4794827,0.108154,,,0.2403422,,0.8123566,,7.4,0.718,0.116566,0.0757078,0.2751918,0.8485,0.2631747,2.12839,0.888,0.9505534,0.4109852,2.4514904,1.0623125,4.5184334,,,
"('CYP', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('CYP', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('CYP', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
