,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('ATG', 6)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 7)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 8)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 9)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 10)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 11)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 12)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 13)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 14)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 15)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 16)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
